country_name,country_text_id,country_id,year,historical_date,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_regime,v2x_regime_amb,v2x_civlib,v2xcl_rol,v2x_rule,v2csstruc_1,v2csstruc_2,v2csstruc_3,v2cscnsult,v2csprtcpt,v2x_jucon,v2x_neopat,v2caviol
Burkina Faso,BFA,54.0,2018.0,2018-12-31,0.666,0.485,0.401,0.552,0.443,2.0,6.0,0.828,0.828,0.726,0.375,0.625,0.0,1.947,2.323,0.677,0.413,1.376
Burkina Faso,BFA,54.0,2019.0,2019-12-31,0.657,0.477,0.39,0.54,0.418,2.0,6.0,0.824,0.829,0.706,0.286,0.571,0.143,1.947,2.323,0.68,0.429,1.376
Burkina Faso,BFA,54.0,2020.0,2020-12-31,0.662,0.486,0.397,0.542,0.423,2.0,6.0,0.816,0.823,0.711,0.167,0.833,0.0,1.947,2.323,0.687,0.412,1.271
Burkina Faso,BFA,54.0,2021.0,2021-12-31,0.634,0.456,0.352,0.517,0.4,2.0,6.0,0.826,0.827,0.69,0.167,0.833,0.0,1.947,2.323,0.628,0.447,1.311
Burkina Faso,BFA,54.0,2022.0,2022-12-31,0.275,0.224,0.177,0.279,0.227,1.0,3.0,0.775,0.811,0.715,0.167,0.833,0.0,1.231,2.323,0.657,0.441,1.924
Burkina Faso,BFA,54.0,2023.0,2023-12-31,0.212,0.179,0.145,0.224,0.201,0.0,0.0,0.678,0.747,0.714,0.167,0.667,0.167,0.665,1.266,0.582,0.438,1.469
Burkina Faso,BFA,54.0,2024.0,2024-12-31,0.154,0.126,0.12,0.073,0.158,0.0,0.0,0.5,0.588,0.536,0.167,0.667,0.167,-0.114,1.266,0.42,0.567,1.271
Burkina Faso,BFA,54.0,2025.0,2025-12-31,0.134,0.103,0.104,0.048,0.157,0.0,0.0,0.455,0.551,0.482,0.2,0.8,0.0,-0.114,1.266,0.274,0.658,1.421
Mali,MLI,28.0,2018.0,2018-12-31,0.518,0.307,0.31,0.405,0.315,1.0,4.0,0.752,0.641,0.343,0.0,0.625,0.375,1.781,1.633,0.612,0.622,1.062
Mali,MLI,28.0,2019.0,2019-12-31,0.516,0.317,0.311,0.432,0.317,1.0,4.0,0.79,0.675,0.384,0.0,0.571,0.429,1.9,1.503,0.665,0.604,1.062
Mali,MLI,28.0,2020.0,2020-12-31,0.421,0.254,0.259,0.375,0.269,1.0,3.0,0.752,0.678,0.378,0.0,0.667,0.333,1.276,1.503,0.637,0.607,2.185
Mali,MLI,28.0,2021.0,2021-12-31,0.243,0.155,0.173,0.252,0.176,0.0,0.0,0.75,0.656,0.273,0.0,1.0,0.0,1.276,1.503,0.486,0.772,2.185
Mali,MLI,28.0,2022.0,2022-12-31,0.231,0.147,0.17,0.233,0.19,0.0,0.0,0.725,0.637,0.275,0.0,0.8,0.2,1.276,1.503,0.486,0.777,1.552
Mali,MLI,28.0,2023.0,2023-12-31,0.229,0.145,0.193,0.225,0.204,0.0,0.0,0.707,0.631,0.292,0.4,0.6,0.0,1.511,1.503,0.483,0.787,1.522
Mali,MLI,28.0,2024.0,2024-12-31,0.192,0.141,0.169,0.218,0.196,0.0,0.0,0.609,0.597,0.328,0.2,0.8,0.0,0.905,0.729,0.587,0.716,1.415
Mali,MLI,28.0,2025.0,2025-12-31,0.164,0.15,0.164,0.208,0.171,0.0,0.0,0.609,0.576,0.421,0.333,0.667,0.0,0.627,1.47,0.794,0.615,1.588
Niger,NER,60.0,2018.0,2018-12-31,0.53,0.405,0.31,0.488,0.363,2.0,5.0,0.784,0.804,0.606,0.0,0.636,0.364,0.413,2.426,0.56,0.427,1.318
Niger,NER,60.0,2019.0,2019-12-31,0.528,0.401,0.339,0.49,0.355,2.0,5.0,0.79,0.798,0.576,0.0,0.6,0.4,1.106,2.426,0.52,0.459,1.318
Niger,NER,60.0,2020.0,2020-12-31,0.544,0.401,0.357,0.503,0.362,2.0,5.0,0.771,0.786,0.555,0.0,0.556,0.444,1.106,2.426,0.494,0.46,1.318
Niger,NER,60.0,2021.0,2021-12-31,0.523,0.401,0.341,0.489,0.354,2.0,5.0,0.784,0.803,0.61,0.286,0.429,0.286,1.383,2.04,0.629,0.428,0.419
Niger,NER,60.0,2022.0,2022-12-31,0.504,0.387,0.328,0.454,0.345,2.0,5.0,0.802,0.815,0.581,0.167,0.5,0.333,1.076,2.04,0.713,0.443,-0.387
Niger,NER,60.0,2023.0,2023-12-31,0.388,0.285,0.278,0.352,0.286,1.0,3.0,0.783,0.807,0.619,0.333,0.333,0.333,1.675,2.269,0.715,0.396,0.001
Niger,NER,60.0,2024.0,2024-12-31,0.237,0.182,0.199,0.247,0.221,0.0,0.0,0.762,0.806,0.625,0.0,0.333,0.667,1.675,1.37,0.755,0.349,-0.273
Niger,NER,60.0,2025.0,2025-12-31,0.227,0.177,0.189,0.253,0.214,0.0,0.0,0.65,0.715,0.578,0.0,0.4,0.4,1.256,1.791,0.687,0.461,0.68
